"","DayOfYear","Month","Interp.Value","Uncertainty","LowerBound","UpperBound","gw_min","gw_max","AvgWaterTemp_C","NEP","NEP_lower","NEP_upper","NEP_min","NEP_max","date","discharge_modeled","Elmt_ID","flowing","atm_CO2_ppm"
"1",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2014-04-02",0.00476030092592593,71,1,422.870946087062
"2",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2020-04-01",0.015452662037037,71,1,422.870946087062
"3",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2015-04-02",0.00321168981481481,71,1,422.870946087062
"4",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2019-04-02",0.00586493055555556,71,1,422.870946087062
"5",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2017-04-02",0.00266354166666667,71,1,422.870946087062
"6",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2022-04-02",0.00194490740740741,71,1,422.870946087062
"7",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2018-04-02",0.0033255787037037,71,1,422.870946087062
"8",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2008-04-01",0.001396875,71,1,422.870946087062
"9",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2012-04-01",0.00490208333333333,71,1,422.870946087062
"10",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2016-04-01",0.00340092592592593,71,1,422.870946087062
"11",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2021-04-02",0,71,0,422.870946087062
"12",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2007-04-02",0.0240354166666667,71,1,422.870946087062
"13",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2023-04-02",0.00191400462962963,71,1,422.870946087062
"14",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2011-04-02",0.00283148148148148,71,1,422.870946087062
"15",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2010-04-02",0.0025375,71,1,422.870946087062
"16",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2013-04-02",0.00180462962962963,71,1,422.870946087062
"17",92,4,9917.9037625,483.198761969381,9434.70500053062,10401.1025244694,8231.34316029733,18556.6323060589,0.0784025423728814,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2009-04-02",0.00296956018518518,71,1,422.870946087062
"18",93,4,9874.66855394068,488.449515175407,9386.21903876528,10363.1180691161,8231.34316029733,18556.6323060589,0.0607303070761015,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2020-04-02",0.0160152777777778,71,1,423.284987633418
"19",93,4,9874.66855394068,488.449515175407,9386.21903876528,10363.1180691161,8231.34316029733,18556.6323060589,0.0607303070761015,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2007-04-03",0.0233462962962963,71,1,423.284987633418
"20",93,4,9874.66855394068,488.449515175407,9386.21903876528,10363.1180691161,8231.34316029733,18556.6323060589,0.0607303070761015,0.1376532,0.00247,0.3204069,0.134583444137325,1.07045066607529,"2023-04-03",0.0019037037037037,71,1,423.284987633418
