"","date","DayOfYear","Interp.Value","Uncertainty","LowerBound","UpperBound","gw_min","gw_max","AvgWaterTemp_C","Month","NEP_median","NEP_lower","NEP_upper","daily_NEP","atm_CO2_ppm","X","flowing_measure","discharge_modeled","Elmt_ID","flowing","measured_discharge"
"1",2018-01-01,1,23365.2899999629,5747.36332622178,17617.9266737411,29112.6533261847,21911.0453320475,27848.1020559008,4.56666666666667,1,0.574512320177321,0.183917820271387,1.41441524964544,1.21352147339184,446.51160775132,526488,0,0,444,0,0
"2",2018-01-02,2,23181.1345271811,5601.74778294172,17579.3867442394,28782.8823101228,21911.0453320475,27848.1020559008,5.26666666666667,1,0.574512320177321,0.183917820271387,1.41441524964544,1.3134425236859,439.477156816544,526549,0,0,444,0,0
"3",2018-01-03,3,23000.2798838931,5463.30817336123,17536.9717105319,28463.5880572544,21911.0453320475,27848.1020559008,5.13333333333333,1,0.574512320177321,0.183917820271387,1.41441524964544,1.11187520383512,439.469916223923,526680,0,0,444,0,0
"4",2018-01-04,4,22826.1441073109,5333.1238353523,17493.0202719586,28159.2679426632,21911.0453320475,27848.1020559008,4.63333333333333,1,0.574512320177321,0.183917820271387,1.41441524964544,0.167024825261971,425.637399325364,526769,0,0,444,0,0
"5",2018-01-05,5,22662.1452346463,5212.12751983994,17450.0177148063,27874.2727544862,21911.0453320475,27848.1020559008,4.76666666666667,1,0.574512320177321,0.183917820271387,1.41441524964544,1.06082624243681,427.531164128214,526943,0,0,444,0,0
"6",2018-01-06,6,22511.7013031113,5101.08460817015,17410.6166949411,27612.7859112814,21911.0453320475,27848.1020559008,5.56666666666667,1,0.574512320177321,0.183917820271387,1.41441524964544,1.12971825195267,429.575001015802,527074,0,0,444,0,0
"7",2018-01-07,7,22378.2303499178,5000.57802696739,17377.6523229504,27378.8083768852,21911.0453320475,27848.1020559008,6.43333333333333,1,0.574512320177321,0.183917820271387,1.41441524964544,1.01745281958189,431.618837903389,527274,0,0,444,0,0
"8",2018-01-08,8,22265.1504122778,4911.0013872156,17354.1490250622,27176.1517994934,21911.0453320475,27848.1020559008,5.6,1,0.574512320177321,0.183917820271387,1.41441524964544,1.21601216107491,441.115764086289,527404,0,0,444,0,0
"9",2018-01-09,9,22175.8795274032,4832.56273942948,17343.3167879737,27008.4422668326,21911.0453320475,27848.1020559008,5.3,1,0.574512320177321,0.183917820271387,1.41441524964544,1.04315696538017,436.283948371493,527535,0,0,444,0,0
"10",2018-01-10,10,22113.8357325059,4765.30086833236,17348.5348641736,26879.1366008383,21911.0453320475,27848.1020559008,4.4,1,0.574512320177321,0.183917820271387,1.41441524964544,1.12700068808643,439.560300448393,527665,0,0,444,0,0
