"date","DayOfYear","Interp.Value","Uncertainty","LowerBound","UpperBound","gw_min","gw_max","AvgWaterTemp_C","Month","NEP_median","NEP_lower","NEP_upper","daily_NEP","discharge_modeled","Elmt_ID","flowing","atm_CO2_ppm","measured_discharge"
2018-01-01,1,9287.7500000003,7508.11834339636,1779.63165660394,16795.8683433967,1041.60000000028,26405.483349282,3.68824735449735,1,0.222202969799474,0.0990877580307722,0.470973608163701,0.218748921109899,0.601808680555556,162,1,447.774322462069,NA
2018-01-02,2,9359.34286819243,7423.77039704939,1935.57247114304,16783.1132652418,1041.60000000028,26405.483349282,3.80884505208333,1,0.222202969799474,0.0990877580307722,0.470973608163701,0.218748921109899,0.560551388888889,162,1,443.943047877521,NA
2018-01-03,3,9428.82114446033,7341.70328308188,2087.11786137844,16770.5244275422,1041.60000000028,26405.483349282,3.31348544973545,1,0.222202969799474,0.0990877580307722,0.470973608163701,0.218748921109899,0.521342476851852,162,1,467.505095318638,NA
2018-01-04,4,9493.95990493151,7261.82026845454,2232.13963647697,16755.780173386,1041.60000000028,26405.483349282,3.53504947916667,1,0.222202969799474,0.0990877580307722,0.470973608163701,0.218748921109899,0.494503240740741,162,1,534.649185581991,NA
2018-01-05,5,9552.53422573348,7183.97009519986,2368.56413053361,16736.5043209333,1041.60000000028,26405.483349282,3.64048556430446,1,0.222202969799474,0.0990877580307722,0.470973608163701,0.218748921109899,0.484207291666667,162,1,640.331103064093,NA
2018-01-06,6,9602.31918299375,7107.94796104289,2494.37122195086,16710.2671440366,1041.60000000028,26405.483349282,3.38191145833333,1,0.222202969799474,0.0990877580307722,0.470973608163701,0.218748921109899,0.496615625,162,1,485.993219028391,NA
2018-01-07,7,9641.08985283984,7033.49822642895,2607.59162641089,16674.5880792688,1041.60000000028,26405.483349282,4.0288828125,1,0.222202969799474,0.0990877580307722,0.470973608163701,0.218748921109899,0.535843171296296,162,1,482.021506966037,NA
2018-01-08,8,9666.62131139927,6960.31891488537,2706.3023965139,16626.9402262846,1041.60000000028,26405.483349282,4.25623046875,1,0.222202969799474,0.0990877580307722,0.470973608163701,0.218748921109899,0.557811458333333,162,1,452.155897940993,NA
2018-01-09,9,9676.68863479954,6888.0680606371,2788.62057416244,16564.7566954366,1041.60000000028,26405.483349282,3.98333072916667,1,0.222202969799474,0.0990877580307722,0.470973608163701,0.218748921109899,0.911290972222222,162,1,441.890542079944,NA
2018-01-10,10,9669.06689916816,6816.37195224411,2852.69494692405,16485.4388514123,1041.60000000028,26405.483349282,3.93235286458333,1,0.222202969799474,0.0990877580307722,0.470973608163701,0.218748921109899,0.737445833333333,162,1,448.877444227247,NA
2018-01-11,11,9641.53118063266,6744.83532694999,2896.69585368267,16386.3665075827,1041.60000000028,26405.483349282,3.9753861517976,1,0.222202969799474,0.0990877580307722,0.470973608163701,0.218748921109899,2.54312094907407,162,1,472.372961948006,NA
2018-01-12,12,9591.85655532054,6673.05359021068,2918.80296510986,16264.9101455312,1041.60000000028,26405.483349282,4.107078125,1,0.222202969799474,0.0990877580307722,0.470973608163701,0.218748921109899,0.668546875,162,1,476.617441137746,NA
2018-01-13,13,9517.81809935932,6600.62717061086,2917.19092874846,16118.4452699702,1041.60000000028,26405.483349282,4.01006647398844,1,0.222202969799474,0.0990877580307722,0.470973608163701,0.218748921109899,0.635932986111111,162,1,475.404431095816,NA
